start_date,label,color
2025-02-24,3.7 Sonnet,rgba(59; 130; 246; 0.07)
2025-05-22,Opus 4,rgba(34; 197; 94; 0.07)
2025-08-05,Opus 4.1,rgba(168; 85; 247; 0.07)
2025-09-29,Sonnet 4.5,rgba(234; 179; 8; 0.07)
2025-10-20,Code Web,rgba(20; 184; 166; 0.07)
2025-11-24,Opus 4.5,rgba(244; 63; 94; 0.07)
2026-02-05,Opus 4.6,rgba(249; 115; 22; 0.07)
2026-02-17,Sonnet 4.6,rgba(59; 130; 246; 0.07)
